Name,Diameter,Coordinates,Approval Year,Eponym,Link
Dominici,1°17′N 36°29′W﻿ / ﻿1.29°N 36.49°W﻿ / 1.29; -36.49﻿ (Dominici),20,2010,"Maria de Dominici, Maltese painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14642
Donelaitis,52°58′S 38°25′E﻿ / ﻿52.96°S 38.42°E﻿ / -52.96; 38.42﻿ (Donelaitis),85,2013,"Kristijonas Donelaitis, Lithuanian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15098
Donne,2°55′N 14°03′W﻿ / ﻿2.92°N 14.05°W﻿ / 2.92; -14.05﻿ (Donne),86,1976,"John Donne, English poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1576
Dostoevskij,44°44′S 178°07′W﻿ / ﻿44.73°S 178.11°W﻿ / -44.73; -178.11﻿ (Dostoevskij),430.06,1979,"Fyodor Dostoyevsky, Russian novelist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1626
Dowland,53°34′S 179°18′E﻿ / ﻿53.56°S 179.3°E﻿ / -53.56; 179.3﻿ (Dowland),158,1979,"John Dowland, English composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1633
Driscoll,30°35′N 33°35′W﻿ / ﻿30.58°N 33.58°W﻿ / 30.58; -33.58﻿ (Driscoll),30,2015,"Clara Driscoll, American artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15392
Duccio,58°14′N 52°25′W﻿ / ﻿58.23°N 52.42°W﻿ / 58.23; -52.42﻿ (Duccio),132,2013,"Duccio di Buoninsegna, Italian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15137
Du Fu,25°00′N 93°40′W﻿ / ﻿25°N 93.66°W﻿ / 25; -93.66﻿ (Du Fu),33,2015,"Du Fu, Chinese artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15396
Dürer,21°31′N 118°59′W﻿ / ﻿21.51°N 118.98°W﻿ / 21.51; -118.98﻿ (Dürer),195,1976,"Albrecht Dürer, German artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1699
Dvorák,9°24′S 12°08′W﻿ / ﻿9.4°S 12.13°W﻿ / -9.4; -12.13﻿ (Dvorák),75,1976,"Antonín Dvořák, Czech composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1678
Eastman,9°31′N 125°46′E﻿ / ﻿9.52°N 125.76°E﻿ / 9.52; 125.76﻿ (Eastman),67,2009,"Charles Eastman, Sioux author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14580
Echegaray,43°29′N 20°13′W﻿ / ﻿43.48°N 20.22°W﻿ / 43.48; -20.22﻿ (Echegaray),63,1985,"José Echegaray, Spanish dramatist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1707
Egonu,67°09′N 61°29′E﻿ / ﻿67.15°N 61.48°E﻿ / 67.15; 61.48﻿ (Egonu),25,2012,"Uzo Egonu, Nigerian artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15020
Eitoku,21°48′S 157°11′W﻿ / ﻿21.8°S 157.18°W﻿ / -21.8; -157.18﻿ (Eitoku),101,1976,"Kanō Eitoku, Japanese artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1749
El Husseini,75°20′S 333°20′W﻿ / ﻿75.34°S 333.34°W﻿ / -75.34; -333.34﻿ (El Husseini),87,2024,"Jumana El Husseini, Palestinian painter and sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/16349
Ellington,12°53′S 26°06′E﻿ / ﻿12.88°S 26.1°E﻿ / -12.88; 26.1﻿ (Ellington),216,2012,"Duke Ellington, American musician",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14957
Eminescu,10°40′N 114°13′E﻿ / ﻿10.66°N 114.21°E﻿ / 10.66; 114.21﻿ (Eminescu),129,2008,"Mihai Eminescu, Romanian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14388
Enheduanna,48°20′N 33°35′W﻿ / ﻿48.34°N 33.59°W﻿ / 48.34; -33.59﻿ (Enheduanna),105,2015,"Enheduanna, Sumerian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15323
Enwonwu,10°01′S 121°58′E﻿ / ﻿10.01°S 121.96°E﻿ / -10.01; 121.96﻿ (Enwonwu),38,2008,"Ben Enwonwu, Nigerian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14508
Ensor,82°19′N 17°32′W﻿ / ﻿82.32°N 17.53°W﻿ / 82.32; -17.53﻿ (Ensor),24.92,2013,"James Ensor, Belgian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15190
Equiano,40°00′S 30°35′W﻿ / ﻿40°S 30.59°W﻿ / -40; -30.59﻿ (Equiano),102,1976,"Olaudah Equiano, Benin writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1819
Erté,27°26′N 117°20′W﻿ / ﻿27.44°N 117.33°W﻿ / 27.44; -117.33﻿ (Erté),48.5,2013,"Erté, Russian-born French artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15141
Faulkner,8°05′N 76°58′E﻿ / ﻿8.08°N 76.97°E﻿ / 8.08; 76.97﻿ (Faulkner),168,2012,"William Faulkner, American author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14958
Fet,4°43′S 179°47′E﻿ / ﻿4.72°S 179.78°E﻿ / -4.72; 179.78﻿ (Fet),79,1985,"Afanasy Fet, Russian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1950
Firdousi,3°28′N 65°19′E﻿ / ﻿3.47°N 65.32°E﻿ / 3.47; 65.32﻿ (Firdousi),98,2010,"Hakim Ferdowsi, Persian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14648
Flaubert,13°50′S 72°42′W﻿ / ﻿13.83°S 72.7°W﻿ / -13.83; -72.7﻿ (Flaubert),95,1985,"Gustave Flaubert, French author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1977
Flaiano,21°17′S 76°44′W﻿ / ﻿21.29°S 76.73°W﻿ / -21.29; -76.73﻿ (Flaiano),43,2013,"Ennio Flaiano, Italian author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15099
Fonteyn,32°49′N 95°31′E﻿ / ﻿32.82°N 95.51°E﻿ / 32.82; 95.51﻿ (Fonteyn),29,2012,"Margot Fonteyn, English ballet dancer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14959
Freire,73°22′S 214°28′W﻿ / ﻿73.36°S 214.46°W﻿ / -73.36; -214.46﻿ (Freire),51,2024,"María Freire, Uruguayan painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/16350
Fuller,82°38′N 42°39′W﻿ / ﻿82.63°N 42.65°W﻿ / 82.63; -42.65﻿ (Fuller),26.97,2013,"Richard Buckminster Fuller, American engineer and architect",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15148
Futabatei,16°03′S 83°31′W﻿ / ﻿16.05°S 83.52°W﻿ / -16.05; -83.52﻿ (Futabatei),57,1976,"Futabatei Shimei, Japanese author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2044
Gainsborough,35°44′S 175°29′E﻿ / ﻿35.73°S 175.48°E﻿ / -35.73; 175.48﻿ (Gainsborough),95,1985,"Thomas Gainsborough, English painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2061
Gaudí,76°54′N 69°10′E﻿ / ﻿76.9°N 69.16°E﻿ / 76.9; 69.16﻿ (Gaudí),81,2012,"Antoni Gaudí i Cornet, Spanish Catalan architect",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15021
Gauguin,66°22′N 100°01′W﻿ / ﻿66.36°N 100.01°W﻿ / 66.36; -100.01﻿ (Gauguin),70,1979,"Paul Gauguin, French artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2117
Geddes,27°10′N 29°43′W﻿ / ﻿27.17°N 29.72°W﻿ / 27.17; -29.72﻿ (Geddes),84,2010,"Wilhelmina Geddes, Irish stained glass artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14643
Ghiberti,48°33′S 80°09′W﻿ / ﻿48.55°S 80.15°W﻿ / -48.55; -80.15﻿ (Ghiberti),110,1976,"Lorenzo Ghiberti, Italian sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2154
Giambologna,42°35′S 124°07′W﻿ / ﻿42.58°S 124.11°W﻿ / -42.58; -124.11﻿ (Giambologna),69,2013,"Giambologna, Flemish sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15191
Gibran,35°44′N 111°26′W﻿ / ﻿35.73°N 111.44°W﻿ / 35.73; -111.44﻿ (Gibran),106,2009,"Kahlil Gibran, Lebanese American poet and artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14581
Giotto,12°28′N 56°29′W﻿ / ﻿12.46°N 56.48°W﻿ / 12.46; -56.48﻿ (Giotto),144,1976,"Giotto di Bondone, Italian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2173
Glinka,14°50′N 112°33′W﻿ / ﻿14.83°N 112.55°W﻿ / 14.83; -112.55﻿ (Glinka),89,2008,"Mikhail Glinka, Russian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14509
Gluck,37°57′N 18°47′W﻿ / ﻿37.95°N 18.78°W﻿ / 37.95; -18.78﻿ (Gluck),100,1979,"Christoph Willibald Gluck, Austrian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2194
Goethe,81°06′N 51°02′W﻿ / ﻿81.1°N 51.03°W﻿ / 81.1; -51.03﻿ (Goethe),317.17,1979,"Johann Wolfgang von Goethe, German writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2204
Gogol,28°16′S 147°28′W﻿ / ﻿28.26°S 147.46°W﻿ / -28.26; -147.46﻿ (Gogol),79,1985,"Nikolai Gogol, Russian playwright",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2206
Gordimer,87°44′N 170°54′W﻿ / ﻿87.73°N 170.9°W﻿ / 87.73; -170.9﻿ (Gogol),58,2019,"Nadine Gordimer, South African writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15865
Goya,6°47′S 152°17′W﻿ / ﻿6.79°S 152.29°W﻿ / -6.79; -152.29﻿ (Goya),138,1976,"Francisco Goya, Spanish artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2229
Grainger,44°05′S 104°49′E﻿ / ﻿44.09°S 104.81°E﻿ / -44.09; 104.81﻿ (Grainger),113,2012,"Percy Grainger, Australian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14960
Grieg,52°29′N 15°22′W﻿ / ﻿52.49°N 15.36°W﻿ / 52.49; -15.36﻿ (Grieg),59,1985,"Edvard Grieg, Norwegian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2250
Grotell,71°05′N 31°38′W﻿ / ﻿71.09°N 31.63°W﻿ / 71.09; -31.63﻿ (Grotell),48.25,2012,"Maija Grotell, Finnish and American ceramist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14961
Guido d'Arezzo,38°25′S 18°32′W﻿ / ﻿38.41°S 18.53°W﻿ / -38.41; -18.53﻿ (Guido d'Arezzo),58,1976,"Guido of Arezzo, Italian music theorist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2270
Hafiz,19°30′N 79°34′E﻿ / ﻿19.5°N 79.56°E﻿ / 19.5; 79.56﻿ (Hafiz),280,2014,"Hafiz of Shiraz, Persian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15245
Halim,48°52′N 100°56′W﻿ / ﻿48.87°N 100.94°W﻿ / 48.87; -100.94﻿ (Halim),44,2024,"Tahia Halim, Egyptian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/16352
Hals,54°58′S 114°59′W﻿ / ﻿54.96°S 114.99°W﻿ / -54.96; -114.99﻿ (Hals),93,1985,"Frans Hals, Dutch painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2334
Han Kan,72°08′S 146°24′W﻿ / ﻿72.13°S 146.4°W﻿ / -72.13; -146.4﻿ (Han Kan),50,1985,"Han Gan, Chinese painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2343
Handel,3°32′N 34°23′W﻿ / ﻿3.53°N 34.38°W﻿ / 3.53; -34.38﻿ (Handel),138,1976,"George Frideric Handel, German composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2344
Harunobu,14°53′N 140°56′W﻿ / ﻿14.88°N 140.93°W﻿ / 14.88; -140.93﻿ (Harunobu),107,1976,"Suzuki Harunobu, Japanese artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2378
Hauptmann,23°42′S 179°35′E﻿ / ﻿23.7°S 179.59°E﻿ / -23.7; 179.59﻿ (Hauptmann),118,1985,"Gerhart Hauptmann, German playwright",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2387
Hawthorne,51°19′S 115°20′W﻿ / ﻿51.31°S 115.34°W﻿ / -51.31; -115.34﻿ (Hawthorne),120,1979,"Nathaniel Hawthorne, American novelist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2389
Haydn,27°13′S 71°38′W﻿ / ﻿27.22°S 71.64°W﻿ / -27.22; -71.64﻿ (Haydn),251,1976,"Joseph Haydn, Austrian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2392
Heaney,33°46′S 237°43′W﻿ / ﻿33.77°S 237.71°W﻿ / -33.77; -237.71﻿ (Heaney),125,2017,"Seamus Heaney, Irish poet and playwright",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15565
Heine,32°28′N 124°53′W﻿ / ﻿32.46°N 124.88°W﻿ / 32.46; -124.88﻿ (Heine),73,1979,"Heinrich Heine, German poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2414
Hemingway,17°23′N 3°08′W﻿ / ﻿17.38°N 3.13°W﻿ / 17.38; -3.13﻿ (Hemingway),126,2009,"Ernest Hemingway, American writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14582
Henri,79°41′N 152°59′E﻿ / ﻿79.68°N 152.98°E﻿ / 79.68; 152.98﻿ (Henri),163.8,2012,"Robert Henri, American painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14962
Hesiod,58°16′S 34°15′W﻿ / ﻿58.27°S 34.25°W﻿ / -58.27; -34.25﻿ (Hesiod),101,1976,"Hesiod, Ancient Greek poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2484
Hiroshige,13°20′S 26°58′W﻿ / ﻿13.34°S 26.96°W﻿ / -13.34; -26.96﻿ (Hiroshige),138,1976,"Andō Hiroshige, Japanese artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2523
Hitomaro,16°04′S 15°39′W﻿ / ﻿16.07°S 15.65°W﻿ / -16.07; -15.65﻿ (Hitomaro),105,1976,"Kakinomoto no Hitomaro, Japanese poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2526
Hodgkins,29°07′N 17°58′E﻿ / ﻿29.12°N 17.97°E﻿ / 29.12; 17.97﻿ (Hodgkins),19,2009,"Frances Hodgkins, New Zealand painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14583
Hokusai,57°50′N 16°39′E﻿ / ﻿57.84°N 16.65°E﻿ / 57.84; 16.65﻿ (Hokusai),114,2010,"Katsushika Hokusai, Japanese painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14644
Holbein,36°10′N 29°50′W﻿ / ﻿36.16°N 29.84°W﻿ / 36.16; -29.84﻿ (Holbein),115,1979,"Hans Holbein the Younger, German artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2536
Holberg,67°22′S 59°34′W﻿ / ﻿67.37°S 59.57°W﻿ / -67.37; -59.57﻿ (Holberg),64,1976,"Ludvig Holberg, Danish writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2537
Holst,17°25′S 44°58′E﻿ / ﻿17.42°S 44.96°E﻿ / -17.42; 44.96﻿ (Holst),170,2012,"Gustav Holst, British composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14963
Homer,1°18′S 36°37′W﻿ / ﻿1.3°S 36.62°W﻿ / -1.3; -36.62﻿ (Homer),319,1976,"Homer, Ancient Greek poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2545
Hopper,12°26′S 55°58′W﻿ / ﻿12.44°S 55.96°W﻿ / -12.44; -55.96﻿ (Hopper),36,2012,"Edward Hopper, American painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15080
Horace,69°20′S 50°01′W﻿ / ﻿69.34°S 50.02°W﻿ / -69.34; -50.02﻿ (Horace),56,1976,"Horace, Roman poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2552
Hovnatanian,7°41′S 172°43′E﻿ / ﻿7.68°S 172.71°E﻿ / -7.68; 172.71﻿ (Hovnatanian),34,2008,"Hakob Hovnatanian, Armenian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14510
Hugo,39°37′N 48°29′W﻿ / ﻿39.61°N 48.49°W﻿ / 39.61; -48.49﻿ (Hugo),206,1979,"Victor Hugo, French writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2576
Hun Kal,0°28′S 19°56′W﻿ / ﻿0.47°S 19.93°W﻿ / -0.47; -19.93﻿ (Hun Kal),0.93,1976,'20' in the language of the Maya (serves as Mercury's a meridian reference point),https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2584
Hurley,87°22′S 6°59′W﻿ / ﻿87.36°S 6.99°W﻿ / -87.36; -6.99﻿ (Hurley),67,2013,"Frank Hurley, Australian photographer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15100
Ibsen,24°21′S 35°53′W﻿ / ﻿24.35°S 35.89°W﻿ / -24.35; -35.89﻿ (Ibsen),159,1976,"Henrik Ibsen, Norwegian playwright",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2638
Ictinus,79°34′S 174°14′W﻿ / ﻿79.56°S 174.24°W﻿ / -79.56; -174.24﻿ (Ictinus),58.03,1976,"Iktinos, Ancient Greek architect",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2645
Imhotep,17°58′S 37°29′W﻿ / ﻿17.97°S 37.48°W﻿ / -17.97; -37.48﻿ (Imhotep),159,1976,"Imhotep, Ancient Egyptian architect",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2678
Ives,32°52′S 111°59′W﻿ / ﻿32.87°S 111.99°W﻿ / -32.87; -111.99﻿ (Ives),18,1979,"Charles Ives, American composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2761
Izquierdo,1°40′S 107°02′E﻿ / ﻿1.66°S 107.04°E﻿ / -1.66; 107.04﻿ (Izquierdo),174,2009,"María Izquierdo, Mexican painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14584
Janáček,55°43′N 154°51′W﻿ / ﻿55.72°N 154.85°W﻿ / 55.72; -154.85﻿ (Janáček),47,1985,"Leoš Janáček, Czech composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2804
Jiménez,81°50′N 152°19′W﻿ / ﻿81.83°N 152.31°W﻿ / 81.83; -152.31﻿ (Jiménez),27,2019,"Juan Ramón Jiménez, Spanish poet and author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15857
Jókai,71°56′N 138°27′W﻿ / ﻿71.93°N 138.45°W﻿ / 71.93; -138.45﻿ (Jókai),93,1979,"Mór Jókai, Hungarian writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2877
Jobim,32°27′N 66°53′W﻿ / ﻿32.45°N 66.88°W﻿ / 32.45; -66.88﻿ (Jobim),167,2015,"Antônio Carlos Jobim, Brazilian composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15393
Joplin,38°34′S 25°31′E﻿ / ﻿38.56°S 25.51°E﻿ / -38.56; 25.51﻿ (Joplin),139,2012,"Scott Joplin, American composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15081
Josetsu,83°35′N 134°56′W﻿ / ﻿83.58°N 134.93°W﻿ / 83.58; -134.93﻿ (Josetsu),30,2019,"Taikō Josetsu, Japanese ink painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15855
Judah Ha-Levi,10°47′N 108°01′W﻿ / ﻿10.79°N 108.01°W﻿ / 10.79; -108.01﻿ (Judah Ha-Levi),85,1976,"Yehuda Halevi, Spanish-Jewish writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2853
Kandinsky,87°53′N 78°47′E﻿ / ﻿87.89°N 78.78°E﻿ / 87.89; 78.78﻿ (Kandinsky),60,2012,"Wassily Kandinsky, Russian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15022
Karsh,35°29′S 78°51′E﻿ / ﻿35.49°S 78.85°E﻿ / -35.49; 78.85﻿ (Karsh),58,2015,"Yousuf Karsh, Armenian-Canadian photographer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15324
Kālidāsā,18°13′S 179°49′W﻿ / ﻿18.21°S 179.82°W﻿ / -18.21; -179.82﻿ (Kālidāsā),160,1976,"Kālidāsa, Sanskrit writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3180
Keats,70°19′S 156°39′W﻿ / ﻿70.31°S 156.65°W﻿ / -70.31; -156.65﻿ (Keats),107.85,1976,"John Keats, English poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2975
Kenkō,21°21′S 16°10′W﻿ / ﻿21.35°S 16.16°W﻿ / -21.35; -16.16﻿ (Kenkō),105,1976,"Yoshida Kenkō, Japanese writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2987
Kerouac,25°13′N 129°06′E﻿ / ﻿25.21°N 129.1°E﻿ / 25.21; 129.1﻿ (Kerouac),110,2015,"Jack Kerouac, American writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15416
Kertész,27°22′N 146°05′E﻿ / ﻿27.37°N 146.08°E﻿ / 27.37; 146.08﻿ (Kertész),32,2008,"André Kertész, Hungarian photographer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14398
Khansa,58°57′S 51°56′W﻿ / ﻿58.95°S 51.94°W﻿ / -58.95; -51.94﻿ (Khansa),113,1976,"Al-Khansa, Arabic poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3005
Kipling,19°22′S 72°01′E﻿ / ﻿19.37°S 72.02°E﻿ / -19.37; 72.02﻿ (Kipling),164,2010,"Rudyard Kipling, English author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14646
Kirby,82°58′N 151°19′W﻿ / ﻿82.96°N 151.32°W﻿ / 82.96; -151.32﻿ (Kipling),31,2019,"Jack Kirby, American illustrator",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15858
Kobro,82°10′S 81°13′E﻿ / ﻿82.16°S 81.22°E﻿ / -82.16; 81.22﻿ (Kobro),54,2012,"Katarzyna Kobro, Polish sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15082
Kofi,56°45′N 117°52′E﻿ / ﻿56.75°N 117.87°E﻿ / 56.75; 117.87﻿ (Kofi),136,2012,"Vincent Kofi, Ghanaian sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14964
Komeda,82°44′S 90°28′E﻿ / ﻿82.74°S 90.47°E﻿ / -82.74; 90.47﻿ (Komeda),54,2012,"Krzysztof Komeda, Polish composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15083
Kōshō,59°56′N 139°52′W﻿ / ﻿59.93°N 139.87°W﻿ / 59.93; -139.87﻿ (Kōshō),64,1985,"Kōshō, Japanese sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3181
Kuan Han-Chʻing,29°26′N 53°40′W﻿ / ﻿29.44°N 53.67°W﻿ / 29.44; -53.67﻿ (Kuan Han-Chʻing),143,1979,"Guan Hanqing, Chinese playwright",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3131
Kuiper,11°20′S 31°19′W﻿ / ﻿11.34°S 31.32°W﻿ / -11.34; -31.32﻿ (Kuiper),62,1976,"Gerard Kuiper, American astronomer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3140
Kulthum,50°43′N 93°32′E﻿ / ﻿50.72°N 93.53°E﻿ / 50.72; 93.53﻿ (Kulthum),31,2015,"Umm Kulthum, Egyptian singer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15322
Kunisada,1°22′N 113°01′E﻿ / ﻿1.37°N 113.02°E﻿ / 1.37; 113.02﻿ (Kunisada),241.45,2009,"Utagawa Kunisada, Japanese woodblock printmaker",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14585
